Name,Category,Description,Price
McSpicy Deluxe Chicken Burger,Burgers & Wraps,"Indulge in a burger made with a spicy and crispy Chicken Patty, Chipotle Sauce, Tomatos, Lettuce & Jalapenos.",218.1
McSpicy Deluxe Paneer Burger,Burgers & Wraps,"Indulge in a burger made with a spicy and crispy Paneer Patty, Chipotle Sauce, Tomatos, Lettuce & Cheese.",218.1
McSpicy Deluxe Chicken Double Patty Burger,Burgers & Wraps,"Indulge in a burger made with two spicy and crispy Chicken Patty, Chipotle Sauce, Tomatos, Lettuce & Jalapenos.",256.11
McAloo Tikki Double Patty Meal (M),Meals,Your favorite Double Patty McAloo Tikki Burger + Fries (M) + Drink of your choice.,225.26
McVeggie Double Patty Meal (M),Meals,Your favourite Double Patty McVeggie Burger + Fries (M) + Drink of your choice,245.83
McChicken Double Patty Meal (M),Meals,Your favorite Double Patty McChicken Burger + Fries (M) + Drink of your choice,245.83
McSpicy Chicken Double Patty Meal (M),Meals,Goodness of TWO scrumptiously filling McSpicy Chicken Patties + Fries (M) + Drink of your choice,369.26
McSaver McChicken Meal,Meals,Your favorite McChicken Burger + Fries (M) + Drink of your choice.,304.76
McSaver McVeggie Meal,Meals,"Enjoy a combo of McVeggie + Fries (M) + Drink of your Choice . Order now to experience a customizable, delicious meal. Save Rs.50 on this Meal.",299.05
McSaver Chicken Maharaja Mac Burger Combo,Meals,"Enjoy a double decker Chicken Maharaja Mac + Fries (M) + Drink of your Choice . Order now to experience a customizable, delicious meal.",384.76
McSaver Big Spicy Chicken Wrap Meal,Meals,Treat yourself with a Big Spicy Chicken Wrap + Fries (M) + Drink of your choice.,307.54
McSaver Veg Maharaja Mac Burger Combo,Meals,"Enjoy a double decker Veg Maharaja Mac+ Fries (M) + Drink of your Choice . Order now to experience a customizable, delicious meal.",384.76
McSaver Big Spicy Paneer Wrap Meal,Meals,"Treat yourself to a Big Spicy Paneer Wrap + Fries (M) + Drink of your Choice Order now to experience a customizable, delicious meal",391.43
McSaver McSpicy Chicken Meal,Meals,Scrumptiously filling McSpicy Chicken Burger + Fries (M) + Drink of your choice.,256.11
McSaver McSpicy Paneer Meal,Meals,"Enjoy a crispy McSpicy Paneer Burger + Fries (M) + Drink of your Choice . Order now to experience a customizable, delicious meal. Save Rs.50 on this Meal.",256.11
McSaver Corn & Cheese Burger Meal,Meals,"Enjoy a combo of Corn & Cheese Burger + Fries (M) + Coke on this meal. Order now to experience a customizable, delicious meal.",288.57
McSaver Chicken Kebab Burger Meal,Meals,"Relish on a juicy Chicken Kebab Burger + Fries (M) + Drink of your Choice on this meal. Order now to experience a customizable, delicious meal.",204.69
McSaver Chicken McNuggets 6 Pcs Meal,Meals,Enjoy your favorite Chicken McNuggets + Fries (M) + Drink of your choice.,348.58
McSaver Chicken McNuggets 9 Pcs Meal,Meals,Enjoy your favorite Chicken McNuggets + Fries (M) + Drink of your choice.,380.01
McSaver Mexican McAloo Tikki Meal,Meals,"Enjoy a combo of Mexican McAloo Tikki + Fries (M) + Drink of your Choice . Order now to experience a customizable, delicious meal.",219.09
McSaver Masala McEgg Burger Combo,Meals,"Enjoy a combo of Masala McEgg + Fries (M) + Drink of your Choice . Order now to experience a customizable, delicious meal.",226.67
McSaver McCheese Burger Veg Combo,Meals,"Enjoy a deliciously filling meal of McCheese Veg Burger + Fries (M) + Beverage of your Choice in a delivery friendly, reusable bottle.",384.76
McSaver McSpicy Premium Burger Veg Combo,Meals,A deliciously filling meal of McSpicy Premium Veg Burger + Fries (M) + Drink of your choice,348.69
McSaver McCheese Burger Chicken Meal,Meals,"Enjoy a deliciously filling meal of McCheese Chicken Burger + Fries (M) + Beverage of your Choice in a delivery friendly, reusable bottle.",384.76
McSaver McSpicy Premium Burger Chicken Combo,Meals,A deliciously filling meal of McSpicy Premium Chicken Burger + Fries (M) + Drink of your choice,348.69
McSaver Grilled Chicken & Cheese Burger Meal,Meals,"Enjoy a combo of Grilled Chicken & Cheese Burger + Fries (M) + Coke on this meal. Order now to experience a customizable, delicious meal.",320.0
McSaver McAloo Tikki Meal,Meals,"Enjoy a delicious meal of McAloo Tikki Burger + Fries (M) + Beverage of your choice in a new, delivery friendly, reusable bottle.",204.69
McSaver Mcspicy Fried Chicken Meal.,Meals,Enjoy the new McSpicy Fried chicken + Fries (M) + Drink of your choice,220.0
McSaver Cheese Italian Chicken Meal,Meals,Indulge in a Cheese experience with our Cheese Italian Chicken Burger Meal. Enjoy Cheese Italian Chicken Burger+ Fries(M)+ Coke (M),327.62
McSaver Cheese Italian Veg Meal,Meals,Indulge in a Cheese experience with our Cheese Italian Veg Burger Meal. Enjoy Cheese Italian Veg Burger+ Fries(M)+ Coke (M),314.29
McSaver McSpicy Deluxe Chicken Burger Meal,Meals,Enjoy the delicious combination of McSpicy Deluxe Chicken Burger + 1  Coke + 1 M Fries,318.86
McSaver McSpicy Deluxe Paneer Burger Meal,Meals,Enjoy the delicious combination of McSpicy Deluxe Paneer Burger + 1  Coke + 1 M Fries,318.86
McSpicy Deluxe Chicken Double Patty Burger Medium Meal,Meals,Enjoy the delicious combination of McSpicy Deluxe Chicken Double Patty Burger + 1  Coke + 1 M Fries,397.33
Coke,Coffee & Beverages (Hot and Cold),"The perfect companion to your burger, fries and everything nice.",102.86
Coke zero can,Coffee & Beverages (Hot and Cold),"The perfect diet companion to your burger, fries and everything nice. Regular serving size, 300 Ml.",66.67
Vedica Zen Water Bottle,Coffee & Beverages (Hot and Cold),Quench your thirst with the Vedica Zen Water Bottle,47.62
Fanta,Coffee & Beverages (Hot and Cold),Add a zest of refreshing orange to your meal.,102.86
Mixed Fruit Beverage,Coffee & Beverages (Hot and Cold),"Made with puree, pulp & juice from 6 delicious fruits",75.24
Sprite,Coffee & Beverages (Hot and Cold),"The perfect companion to your burger, fries and everything nice.",102.86
Masala Pop Coke,Coffee & Beverages (Hot and Cold),Try our new blend of lemon and spices with a surprise hint of tamarind in our new Masala Pop Coke now!,102.86
Masala Pop Sprite,Coffee & Beverages (Hot and Cold),Try our new blend of lemon and spices with a surprise hint of tamarind in our new Masala Pop Sprite now!,102.86
Piri Piri Spice Mix,Fries & Sides,"The perfect, taste bud tingling partner for our World Famous Fries. Shake Shake, and dive in!",23.81
Fries (R),Fries & Sides,"World Famous Fries, crispy golden, fried to perfection and lightly salted. Also known as happiness.",85.71
Fries (M),Fries & Sides,"World Famous Fries, crispy golden, fried to perfection and lightly salted. Also known as happiness.",119.05
Fries (L),Fries & Sides,"World Famous Fries, crispy golden, fried to perfection and lightly salted. Also known as happiness.",139.05
Tomato Ketchup Sachet,Fries & Sides,Looking for a sauce to complement your meal? Look no further.,0.95
Chicken McNuggets - 9 Pcs,Fries & Sides,"9 pieces of our iconic crispy, golden fried Chicken McNuggets!",208.58
Chicken McNuggets - 6 Pcs,Fries & Sides,"6 pieces of our iconic crispy, golden fried Chicken McNuggets!",177.15
Chilli Sauce Sachet,Fries & Sides,Looking for a sauce to complement your meal? Look no further.,1.9
Veg Pizza McPuff,Fries & Sides,"Crispy brown crust with a generous filling of rich tomato sauce, mixed with carrots, bell peppers, beans, onions and mozzarella. Served HOT.",59.05
Veg Nuggets - 2 Pc,Fries & Sides,"Try the new delicious 2 piece pack of Veg Nuggets, oozing with cheese seasoned to perfection. Best enjoyed with Satvik ketchup/NONG ketchup",51.43
Veg Nuggets - 4 Pc,Fries & Sides,"Try the new delicious 4 piece pack of Veg Nuggets, oozing with cheese seasoned to perfection. Best enjoyed with Satvik ketchup/NONG ketchup",93.33
Veg Nuggets 4 Pc + Piri Piri Spice Mix,Fries & Sides,"Relish this delicious combo of 4 Pieces of Veg Nuggets, paired with Piri Piri Seasoning, to give you the perfect balance of Cheese and Spice",114.29
Veg Nuggets - 9 Pc,Fries & Sides,"Try the new delicious 9 piece pack of Veg Nuggets, oozing with cheese seasoned to perfection. Best enjoyed with Satvik ketchup/NONG ketchup",199.05
Veg Nuggets 9 Pc + Piri Piri Spice Mix,Fries & Sides,"Relish this delicious combo of 9 Pieces of Veg Nuggets, paired with Piri Piri Seasoning, to give you the perfect balance of Cheese and Spice",230.48
Fries (M) + Piri Piri Mix,Fries & Sides,Flat 15% Off on Fries (M) + Piri Piri Mix,120.95
Classic Cheese Fries,Fries & Sides,"The world famous, crispy golden Fries, served with delicious cheese sauce with a hint of spice",147.62
Chicken McNuggets - 20 Pcs,Fries & Sides,"20 pieces of our iconic crispy, golden fried Chicken McNuggets!",380.01
Barbeque Sauce,Fries & Sides,Looking for a sauce to complement your meal? Look no further.,19.05
Chicken McNuggets 4 PC,Fries & Sides,"4 pieces of our iconic crispy, golden fried Chicken McNuggets!",96.19
Mustard Sauce,Fries & Sides,Looking for a sauce to complement your meal? Look no further.,19.05
Salsa Cheese Fries,Fries & Sides,"The world famous, crispy, golden Fries, served with rich cheese sauce and a tangy twist of salsa",135.24
Mcflurry Oreo Small,Desserts,"Delicious soft serve meets crumbled oreo cookies, a match made in dessert heaven. Perfect for one.",91.43
McFlurry Oreo Medium,Desserts,"Delicious soft serve meets crumbled oreo cookies, a match made in dessert heaven. Share it, if you can.",128.57
Soft Serve Hot Fudge (M),Desserts,"A sinful delight, soft serve topped with delicious, gooey hot chocolate fudge. Always grab an extra spoon.",64.76
Soft Serve Strawberry (M),Desserts,The cool vanilla soft serve ice cream with twirls of strawberry syrup.,64.76
Oreo Sundae Medium,Desserts,Enjoy the classic McFlurry Oreo goodness with a drizzle of hot fudge sauce with the Oreo Sundae!,71.43
Black Forest McFlurry Medium,Desserts,A sweet treat to suit your every mood,115.24
Brownie Hot Fudge (M),Desserts,Luscious chocolate brownie and hot-chocolate fudge to sweeten your day,138.1
1+1 Gems Flurry,Desserts,What's better than one McFlurry with GEMS? Two of them!,128.57
McFlurry with GEMS Medium,Desserts,Bring out the fun-loving child in you with the colourful and creamy McFlurry with GEMS. The cooling McFlurry with bursts of colourful pellets and chocolate make for the perfect end to your meal!,128.57
McFlurry with GEMS Regular,Desserts,Bring out the fun-loving child in you with the colourful and creamy McFlurry with GEMS. The cooling McFlurry with bursts of colourful pellets and chocolate make for the perfect end to your meal!,94.29
Sundae with GEMS Medium,Desserts,"Playful goodness in a cup! With the new Sundae with GEMS, enjoy a classic Sundae topped with a pop of colour",71.43
Pizza Mc Puff + McSpicy Chicken,McSaver Combos,"Tender and juicy chicken patty coated in spicy, crispy batter topped with a creamy sauce and crispy shredded lettuce will have you craving for more. Served with Veg Pizza McPuff",189.52
McChicken + McSpicy Chicken Burger,McSaver Combos,The ultimate chicken combo made just for you. Get the top selling McChicken with the McSpicy Chicken Burger.,291.43
McVeggie + McAloo Tikki Burger,McSaver Combos,"A delectable patty filled with potatoes, peas, carrots and tasty Indian spices. Topped with crispy lettuce, mayonnaise, and packed into toasted sesame buns makes our iconic McVeggie. Make it a combo with our top selling McAloo Tikki Burger.",189.52
McAloo Tikki + Veg Pizza McPuff + Coke,McSaver Combos,The ultimate veg combo made just for you. Get the top selling McAloo Tikki served with Veg Pizza McPuff and Coke.,160.96
McVeggie + Fries (M),McSaver Combos,"A delectable patty filled with potatoes, peas, carrots and tasty Indian spices. Topped with crispy lettuce, mayonnaise, and packed into toasted sesame buns. Served with Medium Fries.",189.52
McChicken + Fries (M),McSaver Combos,"Tender and juicy chicken patty cooked to perfection, with creamy mayonnaise and crunchy lettuce adding flavour to each bite. Served with Medium Fries.",180.0
2 Coke,McSaver Combos,"The perfect companion to your burger, fries and everything nice. Double it up with this combo.",164.76
McAloo Tikki + Fries (R),McSaver Combos,Aloo Tikki+ Fries (R),107.62
Mexican McAloo Tikki Burger + Fries (R),McSaver Combos,"A fusion of international taste combined with your favourite aloo tikki patty, layered with shredded onion, and delicious Chipotle sauce. Served with Regular Fries.",116.19
McChicken Burger + Veg Pizza McPuff,McSaver Combos,"Tender and juicy chicken patty cooked to perfection, with creamy mayonnaise and crunchy lettuce adding flavour to each bite. Served with Veg Pizza McPuff.",170.48
McVeggie Burger + Veg Pizza McPuff,McSaver Combos,"A delectable patty filled with potatoes, peas, carrots and tasty Indian spices. Topped with crispy lettuce, mayonnaise, and packed into toasted sesame buns. Served with Veg Pizza McPuff.",170.48
McVeggie Burger + Fries (R),McSaver Combos,"A delectable patty filled with potatoes, peas, carrots and tasty Indian spices. Topped with crispy lettuce, mayonnaise, and packed into toasted sesame buns. Served with Regular fries.",175.24
Mexican McAloo Tikki Burger + Fries (L),McSaver Combos,"A fusion of international taste combined with your favourite aloo tikki patty, layered with shredded onion, and delicious Chipotle sauce. Served with Large Fries.",175.24
McChicken Burger + Fries (L),McSaver Combos,"Tender and juicy chicken patty cooked to perfection, with creamy mayonnaise and crunchy lettuce adding flavour to each bite. Served with Large Fries.",227.62
McVeggie Burger + Fries (L),McSaver Combos,"A delectable patty filled with potatoes, peas, carrots and tasty Indian spices. Topped with crispy lettuce, mayonnaise, and packed into toasted sesame buns. Served with Large fries.",222.86
McSaver Chicken Nuggets (4 Pc),McSaver Combos,McSaver Chicken Nuggets (4 Pc) + coke,103.81
McSaver McAloo Tikki,McSaver Combos,"Enjoy a delicious combo of McAloo Tikki Burger and Beverage of your choice in a new, delivery friendly, reusable bottle.",103.81
McSaver Chicken Kebab Burger,McSaver Combos,McSaver Chicken Kebab Burger + coke,103.81
McSaver Masala McEgg,McSaver Combos,McSaver Masala McEgg + Coke,75.24
McSaver Pizza McPuff,McSaver Combos,McSaver Pizza McPuff + Coke,103.81
McSaver Small Fries,McSaver Combos,McSaver Small Fries + Coke,103.81
McSaver Mexican McAloo Tikki,McSaver Combos,McSaver Mexican McAloo Tikki  + Coke,103.81
